nCodePoint,sName,sLaTex,eGlyphClass,nTopAccentX,nItalicCorr
xD4,Ocircumflex,,0,0,0
xF4,ocircumflex,,0,0,0
x1ED0,Ocircumflexacute,,0,0,0
x1ED1,ocircumflexacute,,0,0,0
x1ED8,Ocircumflexdotbelow,,0,0,0
x1ED9,ocircumflexdotbelow,,0,0,0
x1ED2,Ocircumflexgrave,,0,0,0
x1ED3,ocircumflexgrave,,0,0,0
x1ED4,Ocircumflexhookabove,,0,0,0
x1ED5,ocircumflexhookabove,,0,0,0
x1ED6,Ocircumflextilde,,0,0,0
x1ED7,ocircumflextilde,,0,0,0
xD6,Odieresis,,0,0,0
xF6,odieresis,,0,0,0
x1ECC,Odotbelow,,0,0,0
x1ECD,odotbelow,,0,0,0
xD2,Ograve,,0,0,0
xF2,ograve,,0,0,0
x1ECE,Ohookabove,,0,0,0
x1ECF,ohookabove,,0,0,0
x1EDA,Ohornacute,,0,0,0
x1EDB,ohornacute,,0,0,16
x1EE2,Ohorndotbelow,,0,0,0
x1EE3,ohorndotbelow,,0,0,16
x1EDC,Ohorngrave,,0,0,0
x1EDD,ohorngrave,,0,0,16
x1EDE,Ohornhookabove,,0,0,0
x1EDF,ohornhookabove,,0,0,16
x1EE0,Ohorntilde,,0,0,0
x1EE1,ohorntilde,,0,0,16
x150,Ohungarumlaut,,0,0,0
x151,ohungarumlaut,,0,0,0
x14C,Omacron,,0,0,0
x14D,omacron,,0,0,0
xD5,Otilde,,0,0,0
xF5,otilde,,0,0,0
x154,Racute,,0,0,24
x155,racute,,0,0,0
x158,Rcaron,,0,0,24
x159,rcaron,,0,0,0
x156,Rcommaaccent,,0,0,24
x157,rcommaaccent,,0,0,0
x15A,Sacute,,0,0,0
x15B,sacute,,0,0,0
x160,Scaron,,0,0,0
x161,scaron,,0,0,0
x218,,,0,0,0
x219,,,0,0,0
x164,Tcaron,,0,0,0
x165,tcaron,,0,0,0
x21A,,,0,0,0
x21B,,,0,0,0
x162,Tcedilla,,0,0,0
x163,tcedilla,,0,0,0
xDA,Uacute,,0,0,0
xFA,uacute,,0,0,7
xDB,Ucircumflex,,0,0,0
xFB,ucircumflex,,0,0,7
xDC,Udieresis,,0,0,0
xFC,udieresis,,0,0,7
x1EE4,Udotbelow,,0,0,0
x1EE5,udotbelow,,0,0,7
xD9,Ugrave,,0,0,0
xF9,ugrave,,0,0,7
x1EE6,Uhookabove,,0,0,0
x1EE7,uhookabove,,0,0,7
x1EE8,Uhornacute,,0,0,4
x1EE9,uhornacute,,0,0,43
x1EF0,Uhorndotbelow,,0,0,4
x1EF1,uhorndotbelow,,0,0,43
x1EEA,Uhorngrave,,0,0,4
x1EEB,uhorngrave,,0,0,43
x1EEC,Uhornhookabove,,0,0,4
x1EED,uhornhookabove,,0,0,43
x1EEE,Uhorntilde,,0,0,4
x1EEF,uhorntilde,,0,0,43
x170,Uhungarumlaut,,0,0,0
x171,uhungarumlaut,,0,0,7
x16A,Umacron,,0,0,0
x16B,umacron,,0,0,7
x16E,Uring,,0,0,0
x16F,uring,,0,0,7
x168,Utilde,,0,0,0
x169,utilde,,0,0,7
xDD,Yacute,,0,0,16
xFD,yacute,,0,0,8
x178,Ydieresis,,0,0,16
xFF,ydieresis,,0,0,8
x1EF4,Ydotbelow,,0,0,16
x1EF5,ydotbelow,,0,0,8
x1EF2,Ygrave,,0,0,16
x1EF3,ygrave,,0,0,8
x1EF6,Yhookabove,,0,0,16
x1EF7,yhookabove,,0,0,8
x1EF8,Ytilde,,0,0,16
x1EF9,ytilde,,0,0,8
x179,Zacute,,0,0,0
x17A,zacute,,0,0,0
x17D,Zcaron,,0,0,0
x17E,zcaron,,0,0,0
x17B,Zdotaccent,,0,0,0
x17C,zdotaccent,,0,0,0
x110,Dcroat,,0,0,0
0,A.sts,,0,489,0
0,a.sts,,0,284,0
0,acute.sts,,0,379,0
0,AE.sts,,0,0,0
0,ae.sts,,0,0,0
0,ampersand.sts,,0,0,0
0,Aogonek.sts,,0,0,0
0,aogonek.sts,,0,0,0
0,asciicircum.sts,,0,0,33
0,asciitilde.sts,,0,0,27
0,at.sts,,0,0,0
0,B.sts,,0,351,0
0,b.sts,,0,160,0
0,blanksymbol.sts,,0,0,0
0,star.alt.sts,,0,0,0
0,breve.sts,,0,340,0
0,brokenbar.sts,,0,0,0
0,C.sts,,0,659,0
0,c.sts,,0,358,0
0,caron.sts,,0,340,0
0,Ccedilla.sts,,0,0,0
0,ccedilla.sts,,0,0,0
0,cedilla.sts,,0,0,0
0,cent.sts,,0,0,0
0,circumflex.sts,,0,340,0
0,colon.sts,,0,0,0
0,colonmonetary.sts,,0,0,0
0,space_uni0326.sts,,0,332,0
0,copyleft.sts,,0,0,28
0,copyright.sts,,0,0,28
0,currency.sts,,0,0,0
0,D.sts,,0,336,0
0,d.sts,,0,506,0
0,space_uni030F.sts,,0,312,0
0,degree.sts,,0,0,0
0,died.sts,,0,0,0
0,dieresis.sts,,0,340,0
0,discount.sts,,0,0,0
0,divorced.sts,,0,0,238
0,dollar.sts,,0,0,0
0,dotaccent.sts,,0,201,0
0,space_uni0323.sts,,0,201,0
0,dotlessi.sts,,0,202,0
0,dotlessj.sts,,0,219,0
0,E.sts,,0,426,0
0,e.sts,,0,329,0
0,eight.sts,,0,354,0
0,emdash.sts,,0,0,0
0,endash.sts,,0,0,0
0,Eng.sts,,0,0,0
0,eng.sts,,0,0,0
0,Eogonek.sts,,0,0,0
0,eogonek.sts,,0,0,0
0,estimated.sts,,0,0,0
0,Eth.sts,,0,0,0
0,eth.sts,,0,0,0
0,exclam.sts,,0,0,0
0,exclamdown.sts,,0,0,0
0,F.sts,,0,417,0
0,f.sts,,0,358,58
0,f_k.sts,,0,0,0
0,f_f.sts,,0,0,59
0,f_f_i.sts,,0,0,0
0,f_f_l.sts,,0,0,0
0,f_i.sts,,0,0,0
0,five.sts,,0,347,0
0,f_l.sts,,0,0,0
0,four.sts,,0,462,0
